"","Year","Sender","Receiver","Weight"
"132504",2007,"DEU","PRK",6200000
"132505",2008,"DEU","PRK",5510000
"132506",2009,"DEU","PRK",2720000
"132507",2010,"DEU","PRK",2540000
"132508",2011,"DEU","PRK",2520000
"132509",2012,"DEU","PRK",3107646.52
"132510",2013,"DEU","PRK",2606989.88
"132511",2014,"DEU","PRK",2282523.27
"132512",2015,"DEU","PRK",3409913.6
"132513",2016,"DEU","PRK",2852273.1
"132514",2017,"DEU","PRK",2721755.37
"132515",2018,"DEU","PRK",3198350.48
"132516",2019,"DEU","PRK",1762796.1
"132517",1991,"SAU","SGP",50000
"132518",1992,"SAU","SGP",40000
"132519",1993,"SAU","SGP",10000
"132520",1988,"ESP","CHN",18700000
"132521",1989,"ESP","CHN",2500000
"132522",1990,"ESP","CHN",95350000
"132523",1991,"ESP","CHN",84560000
"132524",1992,"ESP","CHN",192370000
"132525",1993,"ESP","CHN",141340000
"132526",1994,"ESP","CHN",173330000
"132527",1995,"ESP","CHN",60430000
"132528",1996,"ESP","CHN",38230000
"132529",1997,"ESP","CHN",34980000
"132530",1998,"ESP","CHN",21430000
"132531",1999,"ESP","CHN",46310000
"132532",2000,"ESP","CHN",47910000
"132533",2001,"ESP","CHN",39540000
"132534",2002,"ESP","CHN",52590000
"132535",2003,"ESP","CHN",57680000
"132536",2004,"ESP","CHN",58610000
"132537",2005,"ESP","CHN",53600000
"132538",2006,"ESP","CHN",58670000
"132539",2007,"ESP","CHN",102690000
"132540",2008,"ESP","CHN",78520000
"132541",2009,"ESP","CHN",90070000
"132542",2010,"ESP","CHN",39120000
"132543",2011,"ESP","CHN",18050000
"132544",2012,"ESP","CHN",3640000
"132545",2013,"ESP","CHN",2990000
"132546",2014,"ESP","CHN",2360493.43078148
"132547",2015,"ESP","CHN",2058828.10267332
"132548",2016,"ESP","CHN",3136995.81997125
"132549",2017,"ESP","CHN",2397904.89691579
"132550",2018,"ESP","CHN",9747799.76196389
"132551",2019,"ESP","CHN",2749392.46882346
"132552",1972,"BEL","VUT",10000
"132553",1973,"BEL","VUT",20000
"132554",1974,"BEL","VUT",30000
"132555",1976,"BEL","VUT",30000
"132556",1980,"BEL","VUT",90000
"132557",1990,"BEL","VUT",3180000
"132558",1991,"BEL","VUT",1380000
"132559",1995,"BEL","VUT",50000
"132560",2015,"BEL","VUT",1386.57792567942
"132561",1972,"NZL","IDN",1970000
"132562",1973,"NZL","IDN",2190000
"132563",1974,"NZL","IDN",3960000
"132564",1975,"NZL","IDN",7090000
"132565",1976,"NZL","IDN",4170000
"132566",1977,"NZL","IDN",2700000
"132567",1978,"NZL","IDN",3500000
"132568",1979,"NZL","IDN",2810000
"132569",1980,"NZL","IDN",3070000
"132570",1981,"NZL","IDN",4520000
"132571",1982,"NZL","IDN",4880000
"132572",1983,"NZL","IDN",4060000
"132573",1984,"NZL","IDN",2900000
"132574",1985,"NZL","IDN",1460000
"132575",1986,"NZL","IDN",2390000
"132576",1987,"NZL","IDN",2250000
"132577",1988,"NZL","IDN",2850000
"132578",1989,"NZL","IDN",2240000
"132579",1990,"NZL","IDN",3120000
"132580",1991,"NZL","IDN",2350000
"132581",1992,"NZL","IDN",2580000
"132582",1993,"NZL","IDN",2790000
"132583",1994,"NZL","IDN",3200000
"132584",1995,"NZL","IDN",3280000
"132585",1996,"NZL","IDN",3460000
"132586",1997,"NZL","IDN",4230000
"132587",1998,"NZL","IDN",3240000
"132588",1999,"NZL","IDN",3920000
"132589",2000,"NZL","IDN",2880000
"132590",2001,"NZL","IDN",2990000
"132591",2002,"NZL","IDN",4470000
"132592",2003,"NZL","IDN",4840000
"132593",2004,"NZL","IDN",6530000
"132594",2005,"NZL","IDN",13040000
"132595",2006,"NZL","IDN",8760000
"132596",2007,"NZL","IDN",13160000
"132597",2008,"NZL","IDN",12110000
"132598",2009,"NZL","IDN",5140000
"132599",2010,"NZL","IDN",6540000
"132600",2011,"NZL","IDN",15280000
"132601",2012,"NZL","IDN",12020000
"132602",2013,"NZL","IDN",6330000
"132603",2014,"NZL","IDN",13570000
"132604",2015,"NZL","IDN",9070000
"132605",2016,"NZL","IDN",10280000
"132606",2017,"NZL","IDN",12580000
"132607",2018,"NZL","IDN",16905704.5517432
"132608",2019,"NZL","IDN",13469282.1976285
"132609",1976,"ARE","MDV",1e+06
"132610",1977,"ARE","MDV",1090000
"132611",1978,"ARE","MDV",1030000
"132612",1979,"ARE","MDV",450000
"132613",1980,"ARE","MDV",1590000
"132614",1984,"ARE","MDV",5e+05
"132615",1985,"ARE","MDV",30000
"132616",2007,"ARE","MDV",1e+05
"132617",2008,"ARE","MDV",130000
"132618",2009,"ARE","MDV",143560
"132619",2010,"ARE","MDV",1662129.002
"132620",2011,"ARE","MDV",3768514.8377
"132621",2012,"ARE","MDV",7019343.861
"132622",2013,"ARE","MDV",1556003.5396
"132623",2014,"ARE","MDV",1014290
"132624",2015,"ARE","MDV",1200630.7
"132625",2016,"ARE","MDV",150190
"132626",2017,"ARE","MDV",7436000
"132627",2018,"ARE","MDV",47957270
"132628",2019,"ARE","MDV",13892671.11355
"132629",1983,"ITA","BRN",5570000
"132630",1996,"AUS","BRN",30000
"132631",1999,"AUS","BRN",30000
"132632",2000,"AUS","BRN",320000
"132633",2001,"AUS","BRN",110000
"132634",2002,"AUS","BRN",1870000
"132635",2004,"AUS","BRN",530000
"132636",2005,"CYP","MDV",30000
"132637",2006,"CYP","MDV",30000
"132638",2007,"CYP","MDV",50000
"132639",2008,"CYP","MDV",20000
"132640",1989,"ESP","IDN",70000
"132641",1990,"ESP","IDN",23160000
"132642",1991,"ESP","IDN",21490000
"132643",1992,"ESP","IDN",9490000
"132644",1993,"ESP","IDN",55430000
"132645",1994,"ESP","IDN",45340000
"132646",1995,"ESP","IDN",44390000
"132647",1996,"ESP","IDN",43050000
"132648",1997,"ESP","IDN",43660000
"132649",1998,"ESP","IDN",3020000
"132650",1999,"ESP","IDN",13840000
"132651",2000,"ESP","IDN",66110000
"132652",2001,"ESP","IDN",41350000
"132653",2002,"ESP","IDN",7850000
"132654",2003,"ESP","IDN",9680000
"132655",2004,"ESP","IDN",19530000
"132656",2005,"ESP","IDN",33710000
"132657",2006,"ESP","IDN",22560000
"132658",2007,"ESP","IDN",17400000
"132659",2008,"ESP","IDN",31510000
"132660",2009,"ESP","IDN",24960000
"132661",2010,"ESP","IDN",11240000
"132662",2011,"ESP","IDN",6040000
"132663",2012,"ESP","IDN",330000
"132664",2013,"ESP","IDN",240000
"132665",2014,"ESP","IDN",311038.561761974
"132666",2015,"ESP","IDN",61697.4486966168
"132667",2016,"ESP","IDN",118563.419219286
"132668",2017,"ESP","IDN",28759038.1354977
"132669",2018,"ESP","IDN",906602.085447893
"132670",2019,"ESP","IDN",137743.330923542
"132671",2004,"CAN","BRN",3e+05
"132672",1997,"ISR","FSM",20000
"132673",1999,"ISR","FSM",20000
"132674",2000,"ISR","FSM",20000
"132675",2001,"ISR","FSM",50000
"132676",2002,"ISR","FSM",30000
"132677",2003,"ISR","FSM",10000
"132678",2010,"ISR","FSM",40000
"132679",2011,"ISR","FSM",30000
"132680",2012,"ISR","FSM",70000
"132681",2007,"CZE","NRU",20000
"132682",2005,"ISR","PRK",20000
"132683",2006,"ISR","PRK",20000
"132684",2011,"ISR","PRK",40000
"132685",2017,"ISR","PRK",44813
"132686",2018,"ISR","PRK",44812.65126
"132687",2019,"ISR","PRK",146130
"132688",1962,"GBR","THA",250000
"132689",1963,"GBR","THA",290000
"132690",1964,"GBR","THA",520000
"132691",1965,"GBR","THA",630000
"132692",1966,"GBR","THA",620000
"132693",1967,"GBR","THA",710000
"132694",1968,"GBR","THA",13380000
"132695",1969,"GBR","THA",12410000
"132696",1970,"GBR","THA",31220000
"132697",1971,"GBR","THA",27240000
"132698",1972,"GBR","THA",19230000
"132699",1973,"GBR","THA",30200000
"132700",1974,"GBR","THA",12420000
"132701",1975,"GBR","THA",27550000
"132702",1976,"GBR","THA",19140000
"132703",1977,"GBR","THA",40360000
"132704",1978,"GBR","THA",33210000
"132705",1979,"GBR","THA",34490000
"132706",1980,"GBR","THA",89830000
"132707",1981,"GBR","THA",124430000
"132708",1982,"GBR","THA",70970000
"132709",1983,"GBR","THA",45420000
"132710",1984,"GBR","THA",34890000
"132711",1985,"GBR","THA",35220000
"132712",1986,"GBR","THA",20570000
"132713",1987,"GBR","THA",30500000
"132714",1988,"GBR","THA",4.7e+07
"132715",1989,"GBR","THA",62470000
"132716",1990,"GBR","THA",29870000
"132717",1991,"GBR","THA",32770000
"132718",1992,"GBR","THA",68020000
"132719",1993,"GBR","THA",68300000
"132720",1994,"GBR","THA",22520000
"132721",1995,"GBR","THA",3880000
"132722",1996,"GBR","THA",62110000
"132723",1997,"GBR","THA",3650000
"132724",1998,"GBR","THA",43360000
"132725",1999,"GBR","THA",-11310000
"132726",2000,"GBR","THA",1870000
"132727",2001,"GBR","THA",-28860000
"132728",2002,"GBR","THA",4600000
"132729",2003,"GBR","THA",-12230000
"132730",2004,"GBR","THA",-40030000
"132731",2005,"GBR","THA",-5300000
"132732",2006,"GBR","THA",2370000
"132733",2007,"GBR","THA",2e+05
"132734",2008,"GBR","THA",60750000
"132735",2009,"GBR","THA",346950000
"132736",2010,"GBR","THA",-50740000
"132737",2011,"GBR","THA",3370000
"132738",2012,"GBR","THA",67560000
"132739",2013,"GBR","THA",3818992.48280175
"132740",2014,"GBR","THA",21529500.600922
"132741",2015,"GBR","THA",5767070.5683728
"132742",2016,"GBR","THA",9073220.38731444
"132743",2017,"GBR","THA",9292147.07700232
"132744",2018,"GBR","THA",11887058.3856209
"132745",2019,"GBR","THA",17795703.8787902
"132746",1983,"DEU","BRN",10000
"132747",1984,"DEU","BRN",50000
"132748",1985,"DEU","BRN",40000
"132749",1986,"DEU","BRN",60000
"132750",1987,"DEU","BRN",70000
"132751",1988,"DEU","BRN",90000
"132752",1989,"DEU","BRN",40000
"132753",1990,"DEU","BRN",30000
"132754",1991,"DEU","BRN",30000
"132755",1992,"DEU","BRN",60000
"132756",1993,"DEU","BRN",20000
"132757",1994,"DEU","BRN",20000
"132758",1995,"DEU","BRN",30000
"132759",1972,"NZL","FJI",960000
"132760",1973,"NZL","FJI",1790000
"132761",1974,"NZL","FJI",1530000
"132762",1975,"NZL","FJI",4290000
"132763",1976,"NZL","FJI",7250000
"132764",1977,"NZL","FJI",3880000
"132765",1978,"NZL","FJI",12890000
"132766",1979,"NZL","FJI",7480000
"132767",1980,"NZL","FJI",4120000
"132768",1981,"NZL","FJI",3430000
"132769",1982,"NZL","FJI",2950000
"132770",1983,"NZL","FJI",3510000
"132771",1984,"NZL","FJI",3390000
"132772",1985,"NZL","FJI",3390000
"132773",1986,"NZL","FJI",2270000
"132774",1987,"NZL","FJI",3820000
"132775",1988,"NZL","FJI",1810000
"132776",1989,"NZL","FJI",2680000
"132777",1990,"NZL","FJI",6190000
"132778",1991,"NZL","FJI",2800000
"132779",1992,"NZL","FJI",5840000
"132780",1993,"NZL","FJI",7340000
"132781",1994,"NZL","FJI",3310000
"132782",1995,"NZL","FJI",6630000
"132783",1996,"NZL","FJI",6640000
"132784",1997,"NZL","FJI",5410000
"132785",1998,"NZL","FJI",4410000
"132786",1999,"NZL","FJI",4750000
"132787",2000,"NZL","FJI",2060000
"132788",2001,"NZL","FJI",1830000
"132789",2002,"NZL","FJI",2800000
"132790",2003,"NZL","FJI",2700000
"132791",2004,"NZL","FJI",2760000
"132792",2005,"NZL","FJI",3470000
"132793",2006,"NZL","FJI",5920000
"132794",2007,"NZL","FJI",3640000
"132795",2008,"NZL","FJI",3850000
"132796",2009,"NZL","FJI",3330000
"132797",2010,"NZL","FJI",3630000
"132798",2011,"NZL","FJI",3940000
"132799",2012,"NZL","FJI",5400000
"132800",2013,"NZL","FJI",6270000
"132801",2014,"NZL","FJI",8020000
"132802",2015,"NZL","FJI",7750000
"132803",2016,"NZL","FJI",16420000
"132804",2017,"NZL","FJI",16770000
"132805",2018,"NZL","FJI",17004586.6560598
"132806",2019,"NZL","FJI",14813630.5665349
"132807",1999,"FRA","PLW",30000
"132808",2006,"THA","NPL",190000
"132809",2007,"THA","NPL",250000
"132810",2008,"THA","NPL",320000
"132811",2009,"THA","NPL",4e+05
"132812",2010,"THA","NPL",280000
"132813",2011,"THA","NPL",260000
"132814",2012,"THA","NPL",180000
"132815",2013,"THA","NPL",120000
"132816",2014,"THA","NPL",80000
"132817",2015,"THA","NPL",436655.3952
"132818",2016,"THA","NPL",82110
"132819",2017,"THA","NPL",190743.7
"132820",2018,"THA","NPL",228509.7345
"132821",2019,"THA","NPL",257324.54
"132822",1972,"NLD","TON",10000
"132823",1973,"NLD","TON",10000
"132824",1974,"NLD","TON",10000
"132825",1975,"NLD","TON",10000
"132826",1976,"NLD","TON",20000
"132827",1977,"NLD","TON",30000
"132828",1978,"NLD","TON",110000
"132829",1979,"NLD","TON",30000
"132830",1980,"NLD","TON",60000
"132831",1981,"NLD","TON",90000
"132832",1982,"NLD","TON",160000
"132833",1983,"NLD","TON",20000
"132834",1984,"NLD","TON",30000
"132835",1985,"NLD","TON",10000
"132836",1986,"NLD","TON",130000
"132837",1987,"NLD","TON",160000
"132838",1988,"NLD","TON",140000
"132839",1989,"NLD","TON",160000
"132840",1990,"NLD","TON",330000
"132841",1991,"NLD","TON",30000
"132842",1992,"NLD","TON",20000
"132843",1993,"NLD","TON",10000
"132844",1994,"NLD","TON",50000
"132845",1995,"NLD","TON",60000
"132846",1996,"NLD","TON",20000
"132847",2000,"NLD","TON",60000
"132848",1997,"ISR","KOR",90000
"132849",1998,"ISR","KOR",70000
"132850",1999,"ISR","KOR",160000
"132851",1971,"ARE","PAK",12580000
"132852",1973,"ARE","PAK",4020000
"132853",1974,"ARE","PAK",60380000
"132854",1975,"ARE","PAK",198220000
"132855",1976,"ARE","PAK",16790000
"132856",1977,"ARE","PAK",71660000
"132857",1978,"ARE","PAK",18510000
"132858",1979,"ARE","PAK",17100000
"132859",1980,"ARE","PAK",74640000
"132860",1981,"ARE","PAK",3810000
"132861",1982,"ARE","PAK",12220000
"132862",1983,"ARE","PAK",15250000
"132863",1984,"ARE","PAK",7300000
"132864",1985,"ARE","PAK",12120000
"132865",1986,"ARE","PAK",1540000
"132866",1987,"ARE","PAK",340000
"132867",1990,"ARE","PAK",270000
"132868",1991,"ARE","PAK",50950000
"132869",1992,"ARE","PAK",11540000
"132870",1993,"ARE","PAK",420000
"132871",1994,"ARE","PAK",2980000
"132872",1995,"ARE","PAK",570000
"132873",1996,"ARE","PAK",155850000
"132874",1997,"ARE","PAK",305040000
"132875",1998,"ARE","PAK",5510000
"132876",1999,"ARE","PAK",8360000
"132877",2000,"ARE","PAK",2330000
"132878",2001,"ARE","PAK",1330000
"132879",2002,"ARE","PAK",13300000
"132880",2003,"ARE","PAK",630000
"132881",2004,"ARE","PAK",480000
"132882",2005,"ARE","PAK",8050000
"132883",2006,"ARE","PAK",40630000
"132884",2007,"ARE","PAK",27630000
"132885",2008,"ARE","PAK",28160000
"132886",2009,"ARE","PAK",158597000
"132887",2010,"ARE","PAK",63985773.5
"132888",2011,"ARE","PAK",71339798.03144
"132889",2012,"ARE","PAK",88782930.763879
"132890",2013,"ARE","PAK",140065892.687191
"132891",2014,"ARE","PAK",90194630
"132892",2015,"ARE","PAK",82768147
"132893",2016,"ARE","PAK",30453390
"132894",2017,"ARE","PAK",34256000
"132895",2018,"ARE","PAK",65006510
"132896",2019,"ARE","PAK",124650347.002623
"132897",1966,"AUT","KOR",20000
"132898",1968,"AUT","KOR",21530000
"132899",1969,"AUT","KOR",6020000
"132900",1971,"AUT","KOR",9740000
"132901",1973,"AUT","KOR",4060000
"132902",1974,"AUT","KOR",32530000
"132903",1975,"AUT","KOR",3300000
"132904",1976,"AUT","KOR",40990000
"132905",1977,"AUT","KOR",280000
"132906",1978,"AUT","KOR",340000
"132907",1979,"AUT","KOR",125840000
"132908",1980,"AUT","KOR",390000
"132909",1981,"AUT","KOR",630000
"132910",1982,"AUT","KOR",740000
"132911",1983,"AUT","KOR",910000
"132912",1984,"AUT","KOR",960000
"132913",1985,"AUT","KOR",17590000
"132914",1986,"AUT","KOR",72620000
"132915",1987,"AUT","KOR",89020000
"132916",1988,"AUT","KOR",7060000
"132917",1989,"AUT","KOR",2340000
"132918",1990,"AUT","KOR",3120000
"132919",1991,"AUT","KOR",3810000
"132920",1992,"AUT","KOR",4560000
"132921",1993,"AUT","KOR",10070000
"132922",1994,"AUT","KOR",4940000
"132923",1995,"AUT","KOR",6300000
"132924",1996,"AUT","KOR",5540000
"132925",1997,"AUT","KOR",2070000
"132926",1998,"AUT","KOR",2070000
"132927",1999,"AUT","KOR",1740000
"132928",1987,"NZL","CHN",2e+05
"132929",1988,"NZL","CHN",210000
"132930",1989,"NZL","CHN",440000
"132931",1990,"NZL","CHN",1080000
"132932",1991,"NZL","CHN",210000
"132933",1992,"NZL","CHN",790000
"132934",1993,"NZL","CHN",610000
"132935",1994,"NZL","CHN",1110000
"132936",1995,"NZL","CHN",1480000
"132937",1996,"NZL","CHN",1280000
"132938",1997,"NZL","CHN",1350000
"132939",1998,"NZL","CHN",1510000
"132940",1999,"NZL","CHN",1490000
"132941",2000,"NZL","CHN",1160000
"132942",2001,"NZL","CHN",820000
"132943",2002,"NZL","CHN",910000
"132944",2003,"NZL","CHN",1060000
"132945",2004,"NZL","CHN",2310000
"132946",2005,"NZL","CHN",1670000
"132947",2006,"NZL","CHN",1700000
"132948",2007,"NZL","CHN",1410000
"132949",2008,"NZL","CHN",1990000
"132950",2009,"NZL","CHN",1180000
"132951",2010,"NZL","CHN",1500000
"132952",2011,"NZL","CHN",1050000
"132953",2012,"NZL","CHN",1030000
"132954",2013,"NZL","CHN",1160000
"132955",2014,"NZL","CHN",850000
"132956",2015,"NZL","CHN",620000
"132957",2016,"NZL","CHN",540000
"132958",2017,"NZL","CHN",560000
"132959",2018,"NZL","CHN",367223.595738794
"132960",2019,"NZL","CHN",320033.662714098
"132961",1996,"FRA","SGP",2e+06
"132962",1997,"FRA","SGP",2e+06
"132963",1998,"FRA","SGP",26840000
"132964",1999,"FRA","SGP",36520000
"132965",2000,"FRA","SGP",1660000
"132966",2001,"FRA","SGP",1320000
"132967",2002,"FRA","SGP",3150000
"132968",2003,"FRA","SGP",-3880000
"132969",2004,"FRA","SGP",3630000
"132970",1997,"BEL","TWN",40000
"132971",1998,"BEL","TWN",25640000
"132972",1999,"BEL","TWN",30000
"132973",2000,"BEL","TWN",20000
"132974",2001,"BEL","TWN",20000
"132975",2002,"BEL","TWN",-7910000
"132976",2003,"BEL","TWN",30000
"132977",2004,"BEL","TWN",20000
"132978",2001,"ESP","FJI",10000
"132979",2010,"USA","COK",60000
"132980",2012,"USA","COK",10000
"132981",2017,"MLT","TUN",5501.070905
"132982",2017,"MLT","BRA",13527.76463
"132983",2018,"MLT","BRA",2043.054408
"132984",2019,"MLT","BRA",231.725064
"132985",2017,"LUX","ATG",30643.185661143
"132986",2017,"MLT","DMA",16909.02942
"132987",2017,"MLT","SLE",28181.7157
"132988",2017,"MLT","YEM",112726.8628
"132989",2018,"MLT","YEM",35406.58562
"132990",2019,"MLT","YEM",55972.23777
"132991",2017,"MLT","MEX",16909.02942
"132992",2018,"MLT","MEX",3784.964003
"132993",2019,"MLT","MEX",5211.015336
"132994",2017,"MLT","ATG",28181.7157
"132995",2017,"MLT","COD",28181.7157
"132996",2017,"RUS","TON",13134.57452
"132997",2017,"RUS","KIR",13134.57452
"132998",2017,"MLT","VNM",3248.607823
"132999",2017,"CAN","TKL",14778.7538325245
"133000",2017,"RUS","PLW",13134.57452
"133001",2017,"RUS","MHL",13134.57452
"133002",2017,"ARE","GNQ",12000
"133003",2018,"ARE","GNQ",5000
"133004",2017,"HRV","COL",22782.75
"133005",2017,"CHE","ATG",106631.461358789
"133006",2017,"HRV","BOL",3623.79
"133007",2017,"AZE","DJI",117600
"133008",2017,"CZE","COM",8899.25766
"133009",2017,"HRV","PRY",890.85
"133010",2017,"HRV","UKR",58849.09
"133011",2018,"HRV","UKR",37953.18
"133012",2019,"HRV","UKR",72453.15
"133013",2017,"KWT","KOS",329652.216911159
"133014",2017,"THA","TUR",12050
"133015",2018,"THA","TUR",15359.88201
"133016",2019,"THA","TUR",27548.99
"133017",2017,"HUN","CAF",867.106778
"133018",2017,"HRV","BIH",10104595.33
"133019",2018,"HRV","BIH",12369354.55
"133020",2019,"HRV","BIH",13447409.76
"133021",2017,"NOR","DMA",120904.364647564
"133022",2017,"IRL","DMA",169090.294217112
"133023",2017,"HRV","CHL",37726.97
"133024",2017,"PRT","YEM",112726.862811408
"133025",2018,"PRT","YEM",47208.780833235
"133026",2019,"PRT","YEM",58793.2385536774
"133027",2016,"SAU","NIC",475110
"133028",2017,"SAU","NIC",764360
"133029",2018,"SAU","NIC",973885
"133030",2019,"SAU","NIC",647594.6
"133031",2015,"SAU","KGZ",4711770
"133032",2016,"SAU","KGZ",4329560
"133033",2017,"SAU","KGZ",4767860
"133034",2018,"SAU","KGZ",3946625.40797
"133035",2019,"SAU","KGZ",5204644.9203
"133036",2017,"HRV","SRB",49147.64
"133037",2018,"HRV","SRB",54321
"133038",2019,"HRV","SRB",21530.7
"133039",2017,"HRV","KEN",3746.13
"133040",2017,"POL","BLZ",4233.588231
"133041",2017,"ISL","TUR",162243
"133042",2018,"ISL","TUR",128689.129790254
"133043",2019,"ISL","TUR",103277.8797
"133044",2017,"POL","CAF",2000
"133045",2018,"POL","CAF",156100.910957
"133046",2017,"HUN","BWA",433.553389
"133047",2019,"HUN","BWA",409.4609567
"133048",2017,"KAZ","ATG",50000
"133049",2017,"HUN","GNQ",433.553389
"133050",2019,"HUN","GNQ",409.4609567
"133051",2017,"HRV","TUR",2906560
"133052",2018,"HRV","TUR",1536858
"133053",2019,"HRV","TUR",1059010
"133054",2017,"SVN","AZE",281.81715702852
"133055",2018,"SVN","AZE",2002.73810928833
"133056",2019,"SVN","AZE",134333.370648158
"133057",2017,"EST","NGA",45090.7451245632
"133058",2017,"PRT","ATG",22545.3725622816
"133059",2017,"THA","NER",9345
"133060",2018,"THA","NER",16300.88496
"133061",2019,"THA","NER",34841.5
"133062",2017,"ISL","COG",112335
"133063",2017,"LTU","CHL",1397.81309886146
"133064",2017,"KAZ","MKD",56363.431405704
"133065",2017,"HRV","VEN",2930.11
"133066",2018,"HRV","VEN",23676
"133067",2017,"HRV","GMB",5687.16
"133068",2019,"HRV","GMB",4720
"133069",2017,"PRT","DMA",50727.0882651336
"133070",2017,"HRV","PER",10252.3
"133071",2017,"LTU","TZA",259.27178446623
"133072",2018,"LTU","TZA",993.74483653959
"133073",2017,"LTU","SSD",11272.6862811408
"133074",2017,"HRV","KOS",38401
"133075",2018,"HRV","KOS",32560
"133076",2019,"HRV","KOS",68225.4
"133077",2017,"LTU","SLE",11272.6862811408
"133078",2017,"HRV","NAM",7483.01
"133079",2019,"HRV","NAM",4790
"133080",2017,"HRV","ARG",31738.85
"133081",2017,"HRV","MKD",1585.41
"133082",2018,"HRV","MKD",319833
"133083",2019,"HRV","MKD",875.81
"133084",2017,"HUN","LBR",1300.660167
"133085",2019,"HUN","LBR",818.9219134
"133086",2017,"LTU","DMA",11272.6862811408
"133087",2017,"HRV","MUS",5149.89
"133088",2019,"HRV","MUS",4790
"133089",2017,"ROU","CPV",2220.74172773706
"133090",2017,"SVN","ARM",1946.92819298839
"133091",2018,"SVN","ARM",2962.81128289862
"133092",2019,"SVN","ARM",450.87876413299
"133093",2017,"AZE","YEM",50000
"133094",2019,"AZE","YEM",20000
"133095",2017,"HRV","MNE",17813.6
"133096",2018,"HRV","MNE",7961
"133097",2019,"HRV","MNE",2657.63
"133098",2017,"HRV","BRA",1480.16
"133099",2017,"ROU","KHM",1042.51486663212
"133100",2017,"LTU","BTN",3719.98647277646
"133101",2018,"LTU","BTN",2807.74224005665
"133102",2019,"LTU","BTN",4364.11060114183
"133103",2017,"HRV","CHN",563.75
"133104",2017,"HUN","TLS",502.361629
"133105",2016,"SAU","MMR",1500000
"133106",2017,"SAU","MMR",500540
"133107",2018,"SAU","MMR",1686666.6667
"133108",2019,"SAU","MMR",80000
"133109",2017,"HUN","BTN",1871.830036
"133110",2019,"HUN","BTN",14488.72434
"133111",2017,"LTU","BGD",2615.26321722466
"133112",2018,"LTU","BGD",490.97132066564
"133113",2019,"LTU","BGD",63225.1203403112
"133114",2017,"PRT","BTN",3519.33265697216
"133115",2017,"BEL","PLW",146544.92165483
"133116",2018,"BEL","PLW",21633.4238168299
"133117",2015,"SAU","TJK",9649730
"133118",2016,"SAU","TJK",29421820
"133119",2017,"SAU","TJK",15036200
"133120",2018,"SAU","TJK",8535194.66893
"133121",2019,"SAU","TJK",15342931.1793
"133122",2017,"HUN","FJI",433.553389
"133123",2019,"HUN","FJI",13171.56758
"133124",2017,"DEU","TKL",9567.61
"133125",2018,"DEU","TKL",10057.11
"133126",2019,"DEU","TKL",9761.35
"133127",2017,"AZE","BGD",394120
"133128",2017,"GBR","FSM",5882.04996137007
"133129",2018,"GBR","FSM",93247.9658530079
"133130",2019,"GBR","FSM",179328.420112302
"133131",2017,"HRV","TKM",4746.3
"133132",2019,"HRV","TKM",14150
"133133",2016,"SAU","CIV",735980
"133134",2017,"SAU","CIV",4030180
"133135",2018,"SAU","CIV",7959474.0877
"133136",2019,"SAU","CIV",5521526.3703
"133137",2018,"CYP","BOL",958.18482237696
"133138",2018,"RUS","SUR",22074.54625
"133139",2015,"SAU","CUB",5717230
"133140",2016,"SAU","CUB",20366210
"133141",2017,"SAU","CUB",18404820
"133142",2018,"SAU","CUB",31778865.07503
"133143",2019,"SAU","CUB",18372604.0686
"133144",2018,"RUS","BFA",1e+06
"133145",2015,"SAU","VNM",10033310
"133146",2016,"SAU","VNM",12155920
"133147",2017,"SAU","VNM",13838920
"133148",2018,"SAU","VNM",11106995.0746
"133149",2019,"SAU","VNM",10079839.374
"133150",2015,"SAU","UZB",4588950
"133151",2016,"SAU","UZB",55947090
"133152",2017,"SAU","UZB",2779320
"133153",2018,"SAU","UZB",17378879.182
"133154",2019,"SAU","UZB",34638074.386
"133155",2018,"MLT","ZWE",5133.954916
"133156",2019,"MLT","ZWE",9291.39147
"133157",2018,"LTU","RWA",2183.40611353712
"133158",2019,"LTU","RWA",2070.97279749244
"133159",2018,"MLT","LBR",1184.940399
"133160",2018,"HRV","JOR",236221
"133161",2018,"NZL","DOM",35371.1123408965
"133162",2019,"NZL","DOM",78793.4453227931
"133163",2018,"LTU","GTM",11802.1952083087
"133164",2018,"SAU","MDA",13333.33333
"133165",2019,"SAU","MDA",13333.33
"133166",2018,"SAU","COL",26666.66667
"133167",2019,"SAU","COL",53333.33
"133168",2018,"SAU","UKR",53333.33333
"133169",2019,"SAU","UKR",199999.97
"133170",2018,"MLT","BFA",1109.40635
"133171",2019,"MLT","BFA",695.175193
"133172",2018,"ISL","TZA",64743.994835101
"133173",2018,"LTU","GHA",1521.302962351
"133174",2018,"MLT","BLZ",820.252567
"133175",2019,"MLT","BLZ",4813.612448
"133176",2018,"MLT","VEN",814.351469
"133177",2019,"MLT","VEN",27986.11889
"133178",2018,"HRV","SSD",51386
"133179",2018,"MLT","GMB",37608.28514
"133180",2018,"ISL","COL",179487.601748603
"133181",2018,"MLT","DZA",2360.439042
"133182",2019,"MLT","DZA",308.966752
"133183",2018,"MLT","GUY",325.740588
"133184",2019,"MLT","GUY",332.475092
"133185",2018,"SVN","GMB",7789.44883748377
"133186",2019,"SVN","GMB",21829.1727303258
"133187",2018,"ISL","ZWE",14777.9656837164
"133188",2018,"AZE","ARG",10000
"133189",2018,"MLT","JAM",1628.702939
